Code,Name,GeographicLevel,CityClass,IncomeClassification,UrbanRural,Population
012805040,San Mateo,Bgy,,,R,1111
012805041,San Pedro,Bgy,,,R,1038
012805042,Suabit (Pob.),Bgy,,,U,1228
012805043,Sumader,Bgy,,,R,1349
012805044,Tabug,Bgy,,,U,3381
012806000,BURGOS,Mun,,5th,,9777
012806001,Ablan Sarat,Bgy,,,R,1498
012806002,Agaga,Bgy,,,R,484
012806005,Bayog,Bgy,,,R,721
012806006,Bobon,Bgy,,,R,1371
012806007,Buduan (Malituek),Bgy,,,R,781
012806008,Nagsurot,Bgy,,,R,768
012806009,Paayas,Bgy,,,U,711
012806010,Pagali,Bgy,,,R,655
012806011,Poblacion,Bgy,,,R,1531
012806013,Saoit,Bgy,,,R,648
012806014,Tanap,Bgy,,,R,609
012807000,CARASI,Mun,,5th,,1567
012807001,Angset,Bgy,,,R,171
012807003,Barbaqueso (Pob.),Bgy,,,R,783
012807004,Virbira,Bgy,,,R,613
012808000,CURRIMAO,Mun,,4th,,12184
012808001,Anggapang Norte,Bgy,,,R,279
012808002,Anggapang Sur,Bgy,,,R,156
012808003,Bimmanga,Bgy,,,R,411
012808004,Cabuusan,Bgy,,,R,354
012808005,Comcomloong,Bgy,,,R,129
012808006,Gaang,Bgy,,,R,1238
012808007,Lang-ayan-Baramban,Bgy,,,R,574
012808008,Lioes,Bgy,,,R,477
012808009,Maglaoi Centro,Bgy,,,R,239
012808010,Maglaoi Norte,Bgy,,,R,671
012808011,Maglaoi Sur,Bgy,,,R,541
012808013,Paguludan-Salindeg,Bgy,,,R,319
012808014,Pangil,Bgy,,,R,601
012808015,Pias Norte,Bgy,,,R,887
012808016,Pias Sur,Bgy,,,R,723
012808017,Poblacion I,Bgy,,,R,744
012808018,Poblacion II,Bgy,,,R,611
012808019,Salugan,Bgy,,,R,471
012808020,San Simeon,Bgy,,,R,300
012808021,Santa Cruz,Bgy,,,R,293
012808022,Tapao-Tigue,Bgy,,,R,791
012808023,Torre,Bgy,,,R,429
012808024,Victoria,Bgy,,,R,946
012809000,DINGRAS,Mun,,2nd,,38562
012809001,Albano (Pob.),Bgy,,,U,823
012809002,Bacsil,Bgy,,,R,837
012809003,Bagut,Bgy,,,R,972
012809004,Parado (Bangay),Bgy,,,R,1524
012809005,Baresbes,Bgy,,,R,1998
012809006,Barong,Bgy,,,R,2374
012809007,Bungcag,Bgy,,,R,538
012809009,Cali,Bgy,,,R,1319
012809010,Capasan,Bgy,,,R,697
012809011,Dancel (Pob.),Bgy,,,R,570
012809012,Foz,Bgy,,,R,874
012809013,Guerrero (Pob.),Bgy,,,R,1492
012809014,Lanas,Bgy,,,R,905
012809015,Lumbad,Bgy,,,R,1023
012809016,Madamba (Pob.),Bgy,,,U,1984
012809017,Mandaloque,Bgy,,,R,664
012809018,Medina,Bgy,,,R,1290
012809019,Ver (Naglayaan),Bgy,,,R,1175
012809020,San Marcelino (Padong),Bgy,,,R,3710
012809021,Puruganan (Pob.),Bgy,,,R,880
012809022,Peralta (Pob.),Bgy,,,R,1331
012809023,Root (Baldias),Bgy,,,R,828
012809024,Sagpatan,Bgy,,,R,822
012809025,Saludares,Bgy,,,R,1469
012809026,San Esteban,Bgy,,,R,828
012809027,Espiritu,Bgy,,,R,975
012809028,Sulquiano (Sidiran),Bgy,,,R,1458
012809029,San Francisco (Surrate),Bgy,,,R,2154
012809030,Suyo,Bgy,,,U,1400
012809031,San Marcos,Bgy,,,R,649
012809032,Elizabeth,Bgy,,,R,999
012810000,DUMALNEG,Mun,,5th,,2947
012810001,Cabaritan (Dumalneg),Bgy,,,R,1964
012810002,San Isidro,Bgy,,,R,983
012810003,Kalaw (Dumalneg),Bgy,,,,
012810004,Quibel (Dumalneg),Bgy,,,,
012811000,BANNA (ESPIRITU),Mun,,4th,,19438
012811001,Balioeg,Bgy,,,R,877
012811002,Bangsar,Bgy,,,R,901
012811003,Barbarangay,Bgy,,,R,782
012811004,Bomitog,Bgy,,,R,1314
012811005,Bugasi,Bgy,,,R,938
012811006,Caestebanan,Bgy,,,R,1063
012811008,Caribquib,Bgy,,,R,980
012811009,Catagtaguen,Bgy,,,R,1270
012811011,Crispina,Bgy,,,R,984
012811012,Hilario (Pob.),Bgy,,,R,993
012811013,Imelda,Bgy,,,R,610
