Code,Name,GeographicLevel,CityClass,IncomeClassification,UrbanRural,Population
023132029,San Marcos,Bgy,,,R,1622
023132030,San Roque,Bgy,,,R,1115
023132031,Sinamar Norte,Bgy,,,R,4549
023132032,Sinamar Sur,Bgy,,,R,2056
023132033,Victoria,Bgy,,,R,4944
023132035,Villafuerte,Bgy,,,R,2021
023132036,Villa Cruz,Bgy,,,R,1327
023132037,Villa Magat,Bgy,,,R,1059
023132038,Villa Gamiao (Buyon),Bgy,,,R,793
023132039,Dagupan,Bgy,,,R,1302
023132040,Daramuangan Norte,Bgy,,,R,1956
023133000,SAN PABLO,Mun,,2nd,,25384
023133001,Annanuman,Bgy,,,R,1080
023133002,Auitan,Bgy,,,R,1287
023133003,Ballacayu,Bgy,,,R,2242
023133004,Binguang,Bgy,,,R,2443
023133005,Bungad,Bgy,,,R,1918
023133006,Dalena,Bgy,,,R,2069
023133007,Caddangan/Limbauan,Bgy,,,R,1614
023133008,Calamagui,Bgy,,,R,1387
023133009,Caralucud,Bgy,,,R,571
023133010,Guminga,Bgy,,,R,607
023133011,Minanga Norte,Bgy,,,R,1090
023133012,Minanga Sur,Bgy,,,R,1300
023133013,San Jose,Bgy,,,R,1402
023133014,Poblacion,Bgy,,,R,890
023133015,Simanu Norte,Bgy,,,R,2360
023133016,Simanu Sur,Bgy,,,R,883
023133017,Tupa (San Vicente),Bgy,,,R,2241
023134000,SANTA MARIA,Mun,,4th,,25382
023134001,Bangad,Bgy,,,R,2760
023134002,Buenavista,Bgy,,,R,784
023134003,Calamagui North,Bgy,,,R,1443
023134004,Calamagui East,Bgy,,,R,934
023134005,Calamagui West,Bgy,,,R,935
023134007,Divisoria,Bgy,,,R,963
023134008,Lingaling,Bgy,,,R,1108
023134009,Mozzozzin Sur,Bgy,,,R,1721
023134010,Mozzozzin North,Bgy,,,R,1201
023134011,Naganacan,Bgy,,,R,2018
023134012,Poblacion 1,Bgy,,,R,1586
023134013,Poblacion 2,Bgy,,,R,598
023134014,Poblacion 3,Bgy,,,R,2144
023134015,Quinagabian,Bgy,,,R,1262
023134016,San Antonio,Bgy,,,R,1371
023134017,San Isidro East,Bgy,,,R,1160
023134018,San Isidro West,Bgy,,,R,1072
023134019,San Rafael West,Bgy,,,R,763
023134020,San Rafael East,Bgy,,,R,623
023134021,Villabuena,Bgy,,,R,936
023135000,CITY OF SANTIAGO,City,ICC,1st,,134830
023135001,Abra,Bgy,,,R,1756
023135002,Ambalatungan,Bgy,,,R,1547
023135003,Balintocatoc,Bgy,,,R,3777
023135004,Baluarte,Bgy,,,U,5225
023135005,Bannawag Norte,Bgy,,,R,1436
023135006,Batal,Bgy,,,U,8461
023135007,Buenavista,Bgy,,,U,4010
023135008,Cabulay,Bgy,,,R,3320
023135009,Calao East (Pob.),Bgy,,,U,3259
023135010,Calao West (Pob.),Bgy,,,U,1411
023135011,Calaocan,Bgy,,,U,6496
023135012,Villa Gonzaga,Bgy,,,R,1723
023135013,Centro East (Pob.),Bgy,,,U,1223
023135014,Centro West (Pob.),Bgy,,,U,1185
023135015,Divisoria,Bgy,,,R,4373
023135016,Dubinan East,Bgy,,,U,1888
023135017,Dubinan West,Bgy,,,U,3103
023135018,Luna,Bgy,,,R,1100
023135019,Mabini,Bgy,,,U,6223
023135020,Malvar,Bgy,,,U,3508
023135021,Nabbuan,Bgy,,,R,3417
023135022,Naggasican,Bgy,,,U,5560
023135023,Patul,Bgy,,,U,5459
023135024,Plaridel,Bgy,,,U,6245
023135025,Rizal,Bgy,,,U,13803
023135026,Rosario,Bgy,,,U,11441
023135027,Sagana,Bgy,,,R,4473
023135028,Salvador,Bgy,,,R,1991
023135029,San Andres,Bgy,,,U,1747
023135030,San Isidro,Bgy,,,R,1050
023135031,San Jose,Bgy,,,R,1195
023135032,Sinili,Bgy,,,R,1469
023135033,Sinsayon,Bgy,,,U,3172
023135034,Santa Rosa,Bgy,,,R,703
023135035,Victory Norte,Bgy,,,U,4707
023135036,Victory Sur,Bgy,,,R,2348
023135037,Villasis,Bgy,,,U,1026
023136000,SANTO TOMAS,Mun,,4th,,23005
023136001,Ammugauan,Bgy,,,R,571
023136002,Antagan,Bgy,,,R,491
023136003,Bagabag,Bgy,,,R,798
023136004,Bagutari,Bgy,,,R,1235
023136005,Balelleng,Bgy,,,R,1791
023136006,Barumbong,Bgy,,,R,1198
023136008,Bubug,Bgy,,,R,1185
023136009,Bolinao-Culalabo,Bgy,,,R,1612
023136010,Cañogan Abajo Norte,Bgy,,,R,588
023136013,Calinaoan Centro,Bgy,,,R,703
023136015,Calinaoan Malasin,Bgy,,,R,442
023136016,Calinaoan Norte,Bgy,,,R,587
023136017,Cañogan Abajo Sur,Bgy,,,R,773
023136018,Cañogan Alto,Bgy,,,R,742
023136019,Centro,Bgy,,,R,2728
023136020,Colunguan,Bgy,,,R,1184
023136021,Malapagay,Bgy,,,R,347
023136022,San Rafael Abajo,Bgy,,,R,590
023136023,San Rafael Alto,Bgy,,,R,630
023136024,San Roque,Bgy,,,R,1026
023136025,San Vicente,Bgy,,,R,1238
023136026,Uauang-Tuliao,Bgy,,,R,165
023136027,Uauang-Galicia,Bgy,,,R,0
023136029,Biga Occidental,Bgy,,,R,744
023136030,Biga Oriental,Bgy,,,R,665
023136031,Calanigan Norte,Bgy,,,R,445
023136032,Calanigan Sur,Bgy,,,R,527
023137000,TUMAUINI,Mun,,1st,,67650
023137001,Annafunan,Bgy,,,R,1754
023137002,Antagan I,Bgy,,,R,3004
023137003,Antagan II,Bgy,,,R,1537
023137005,Arcon,Bgy,,,R,2178
023137007,Balug,Bgy,,,R,1202
023137008,Banig,Bgy,,,R,995
023137009,Bantug,Bgy,,,R,1053
023137010,Bayabo East,Bgy,,,R,1468
023137012,Caligayan,Bgy,,,R,1763
023137013,Camasi,Bgy,,,R,2390
023137014,Carpentero,Bgy,,,R,1055
023137015,Compania,Bgy,,,R,1254
023137016,Cumabao,Bgy,,,R,2404
023137018,Fugu Abajo,Bgy,,,R,1133
023137019,Fugu Norte,Bgy,,,R,805
023137020,Fugu Sur,Bgy,,,R,156
023137021,Fermeldy (Hcda. San Francisco),Bgy,,,R,2244
023137022,Lalauanan,Bgy,,,R,784
023137023,Lanna,Bgy,,,R,3135
023137024,Lapogan,Bgy,,,R,2504
023137025,Lingaling,Bgy,,,R,1387
023137026,Liwanag,Bgy,,,R,1810
023137027,Santa Visitacion (Maggayu),Bgy,,,R,1091
023137029,Malamag East,Bgy,,,R,1037
023137030,Malamag West,Bgy,,,R,1176
023137031,Maligaya,Bgy,,,R,2464
023137032,Minanga,Bgy,,,R,1360
023137033,Namnama,Bgy,,,R,1384
023137035,Paragu,Bgy,,,R,1240
023137036,Pilitan,Bgy,,,R,1683
023137037,Barangay District 1 (Pob.),Bgy,,,R,844
023137038,Barangay District 2 (Pob.),Bgy,,,R,700
023137039,Barangay District 3 (Pob.),Bgy,,,R,1156
023137040,Barangay District 4 (Pob.),Bgy,,,R,974
023137041,San Mateo,Bgy,,,U,2539
023137042,San Pedro,Bgy,,,U,2868
023137044,San Vicente,Bgy,,,R,1321
023137045,Santa,Bgy,,,R,1159
023137046,Santa Catalina,Bgy,,,R,772
023137047,Santo Niño,Bgy,,,R,1314
023137048,Sinippil,Bgy,,,R,242
023137050,Sisim Abajo,Bgy,,,R,147
023137051,Sisim Alto,Bgy,,,R,1070
023137053,Tunggui,Bgy,,,R,737
023137054,Ugad,Bgy,,,R,2836
023137055,Moldero,Bgy,,,R,1521
025000000,NUEVA VIZCAYA,Prov,,2nd,,452287
025001000,AMBAGUIO,Mun,,5th,,15250
025001001,Ammueg,Bgy,,,R,2110
025001004,Camandag,Bgy,,,R,1540
025001005,Labang,Bgy,,,R,1826
025001006,Napo,Bgy,,,R,1760
025001007,Poblacion,Bgy,,,R,2758
025001008,Salingsingan,Bgy,,,R,1366
025001009,Tiblac,Bgy,,,R,2123
025001010,Dulli,Bgy,,,R,1767
025002000,ARITAO,Mun,,2nd,,37225
025002001,Banganan,Bgy,,,U,2788
025002002,Beti,Bgy,,,R,2033
025002003,Bone North,Bgy,,,R,2337
025002004,Bone South,Bgy,,,R,3866
025002005,Calitlitan,Bgy,,,U,2030
025002006,Comon,Bgy,,,R,3831
025002007,Cutar,Bgy,,,R,1956
025002008,Darapidap,Bgy,,,R,2151
025002009,Kirang,Bgy,,,R,2525
025002010,Nagcuartelan,Bgy,,,R,1189
025002011,Poblacion,Bgy,,,R,4030
025002012,Santa Clara,Bgy,,,R,1100
025002013,Tabueng,Bgy,,,R,610
025002014,Tucanon,Bgy,,,R,1226
025002016,Anayo,Bgy,,,R,522
025002017,Baan,Bgy,,,R,525
025002018,Balite,Bgy,,,R,684
025002019,Canabuan,Bgy,,,R,721
025002020,Canarem,Bgy,,,R,919
025002021,Latar-Nocnoc-San Francisco,Bgy,,,R,509
025002022,Ocao-Capiniaan,Bgy,,,R,888
025002023,Yaway,Bgy,,,R,785
025003000,BAGABAG,Mun,,2nd,,35501
025003001,Bakir,Bgy,,,R,1008
025003002,Baretbet,Bgy,,,R,4846
025003003,Careb,Bgy,,,R,2241
025003004,Lantap,Bgy,,,R,2593
025003005,Murong,Bgy,,,R,2711
025003006,Nangalisan,Bgy,,,R,1297
025003007,Paniki,Bgy,,,R,1858
025003008,Pogonsino,Bgy,,,R,1656
025003009,San Geronimo (Pob.),Bgy,,,U,1546
025003010,San Pedro (Pob.),Bgy,,,R,2171
025003011,Santa Cruz,Bgy,,,R,931
025003012,Santa Lucia,Bgy,,,R,2635
025003014,Tuao North,Bgy,,,U,1717
025003015,Villa Coloma (Pob.),Bgy,,,R,2739
025003016,Quirino (Pob.),Bgy,,,R,1526
025003017,Villaros,Bgy,,,R,1629
025003018,Tuao South,Bgy,,,U,2397
025004000,BAMBANG,Mun,,1st,,53433
025004001,Abian,Bgy,,,R,1890
025004002,Abinganan,Bgy,,,R,1151
025004003,Aliaga,Bgy,,,R,1846
025004005,Almaguer North,Bgy,,,U,2148
025004006,Almaguer South,Bgy,,,R,1953
025004007,Banggot (Pob.),Bgy,,,U,4405
025004008,Barat,Bgy,,,R,1819
025004009,Buag (Pob.),Bgy,,,R,3688
025004010,Calaocan (Pob.),Bgy,,,U,3336
025004011,Dullao,Bgy,,,R,1355
025004012,Homestead,Bgy,,,U,3555
025004013,Indiana,Bgy,,,R,2059
025004014,Mabuslo,Bgy,,,R,2720
025004015,Macate,Bgy,,,R,1548
025004016,Manamtam,Bgy,,,R,855
025004017,Mauan,Bgy,,,R,1115
025004018,Salinas,Bgy,,,R,2840
025004020,San Antonio North,Bgy,,,U,1992
025004021,San Antonio South,Bgy,,,R,1609
025004022,San Fernando,Bgy,,,R,2395
025004023,San Leonardo,Bgy,,,R,1907
025004024,Santo Domingo (Tabangan),Bgy,,,R,3206
025004025,Pallas,Bgy,,,R,1153
025004026,Magsaysay Hills,Bgy,,,R,1679
025004027,Santo Domingo West,Bgy,,,R,1209
025005000,BAYOMBONG (Capital),Mun,,1st,,61512
025005001,Bonfal East,Bgy,,,R,2547
025005002,Bonfal Proper,Bgy,,,U,4793
025005003,Bonfal West,Bgy,,,R,4484
025005004,Buenavista (Vista Hills),Bgy,,,R,2943
025005005,Busilac,Bgy,,,U,3101
025005006,Casat,Bgy,,,R,1688
025005008,La Torre North,Bgy,,,R,1865
025005009,Magapuy,Bgy,,,R,1104
025005010,Magsaysay,Bgy,,,U,4721
025005011,Masoc,Bgy,,,U,3357
025005012,Paitan,Bgy,,,R,1762
025005014,Don Domingo Maddela Pob. (District I),Bgy,,,U,1335
025005015,Don Tomas Maddela Pob. (District II),Bgy,,,U,1050
025005016,District III Pob. (Don M. Perez),Bgy,,,R,2215
025005017,District IV (Pob.),Bgy,,,U,3424
025005019,Bansing,Bgy,,,R,920
025005020,Cabuaan,Bgy,,,R,1003
025005021,Don Mariano Marcos,Bgy,,,U,2230
025005022,Ipil-Cuneg,Bgy,,,R,582
025005023,La Torre South,Bgy,,,U,2136
025005024,Luyang,Bgy,,,R,1231
025005025,Salvacion,Bgy,,,U,4394
025005026,San Nicolas North (Luyang),Bgy,,,R,2290
025005027,Santa Rosa,Bgy,,,R,2443
025005028,Vista Alegre (B. Baringin),Bgy,,,R,3894
025006000,DIADI,Mun,,4th,,18122
025006001,Arwas,Bgy,,,R,814
025006002,Balete,Bgy,,,R,1314
025006003,Bugnay,Bgy,,,R,1334
025006004,Decabacan,Bgy,,,R,703
025006005,Duruarog,Bgy,,,R,924
025006006,Escoting,Bgy,,,R,983
025006007,Nagsabaran,Bgy,,,R,1276
025006008,Namamparan,Bgy,,,R,1321
025006009,Pinya,Bgy,,,R,665
025006010,Poblacion,Bgy,,,R,3320
025006011,Ampakling,Bgy,,,R,759
025006012,Butao,Bgy,,,R,1076
025006013,Langca,Bgy,,,R,259
025006014,Lurad,Bgy,,,R,526
025006015,Rosario,Bgy,,,R,313
025006016,San Luis,Bgy,,,R,580
025006017,San Pablo,Bgy,,,R,829
025006018,Villa Aurora,Bgy,,,R,457
025006019,Villa Florentino,Bgy,,,R,669
025007000,DUPAX DEL NORTE,Mun,,3rd,,27514
025007002,Belance,Bgy,,,U,2748
025007003,Bulala,Bgy,,,R,721
025007009,Inaban,Bgy,,,R,2042
025007010,Ineangan,Bgy,,,R,3357
025007011,Lamo,Bgy,,,R,1660
025007012,Mabasa,Bgy,,,R,2319
025007013,Malasin (Pob.),Bgy,,,U,3972
025007015,Munguia,Bgy,,,R,1032
025007016,Oyao,Bgy,,,R,2215
025007018,New Gumiad,Bgy,,,R,324
025007019,Yabbi,Bgy,,,R,549
025007020,Binnuangan,Bgy,,,R,1846
025007021,Bitnong,Bgy,,,R,2641
025007022,Macabenga,Bgy,,,R,1307
025007023,Parai,Bgy,,,R,781
025008000,DUPAX DEL SUR,Mun,,2nd,,19111
025008001,Abaca,Bgy,,,R,571
025008003,Banila,Bgy,,,R,728
025008004,Carolotan,Bgy,,,R,1016
025008007,Gabut,Bgy,,,U,1268
025008008,Ganao (Lingad),Bgy,,,R,1045
025008010,Lukidnon,Bgy,,,R,369
025008011,Mangayang,Bgy,,,R,2140
025008012,Palabotan,Bgy,,,R,1083
025008013,Biruk,Bgy,,,R,926
025008014,Bagumbayan,Bgy,,,R,788
025008015,Balsain,Bgy,,,R,609
025008016,Canabay,Bgy,,,R,1039
025008017,Domang,Bgy,,,R,1449
025008018,Dopaj,Bgy,,,R,1722
025008019,Kimbutan,Bgy,,,R,1240
025008020,Kinabuan,Bgy,,,R,1059
025008021,Sanguit,Bgy,,,R,1033
025008022,Santa Maria,Bgy,,,R,555
025008023,Talbek,Bgy,,,R,471
025009000,KASIBU,Mun,,3rd,,37705
025009001,Antutot,Bgy,,,R,1469
025009002,Alimit,Bgy,,,R,1057
025009003,Poblacion (Alloy),Bgy,,,R,2092
025009004,Bilet,Bgy,,,R,420
025009005,Binogawan,Bgy,,,R,799
025009006,Bua,Bgy,,,R,1422
025009007,Biyoy,Bgy,,,R,1906
025009008,Capisaan,Bgy,,,R,1046
025009009,Cordon,Bgy,,,R,1274
025009010,Didipio,Bgy,,,U,3233
025009011,Dine,Bgy,,,R,997
025009012,Kakiduguen,Bgy,,,R,817
025009014,Lupa,Bgy,,,R,1048
025009015,Macalong,Bgy,,,R,1552
025009016,Malabing,Bgy,,,R,755
025009017,Muta,Bgy,,,R,1927
025009018,Pao,Bgy,,,R,1170
025009019,Papaya,Bgy,,,R,1195
025009020,Pudi,Bgy,,,R,1361
025009021,Tokod,Bgy,,,R,304
025009022,Seguem,Bgy,,,R,801
025009023,Tadji,Bgy,,,R,844
025009024,Wangal,Bgy,,,R,1091
025009025,Watwat,Bgy,,,R,1319
025009026,Camamasi,Bgy,,,R,429
025009027,Catarawan,Bgy,,,R,804
025009028,Nantawacan,Bgy,,,R,1703
025009029,Alloy,Bgy,,,R,1167
025009030,Kongkong,Bgy,,,R,2401
025009031,Pacquet (Ilongot Res.),Bgy,,,R,1302
025010000,KAYAPA,Mun,,3rd,,23714
025010001,Acacia,Bgy,,,R,865
025010002,Amilong Labeng,Bgy,,,R,224
025010003,Ansipsip,Bgy,,,R,204
025010004,Baan,Bgy,,,R,847
025010005,Babadi,Bgy,,,R,1135
025010006,Balangabang,Bgy,,,R,529
025010007,Banao,Bgy,,,R,753
025010008,Binalian,Bgy,,,R,746
025010009,Besong,Bgy,,,R,921
025010010,Cabalatan-Alang,Bgy,,,R,181
025010011,Cabanglasan,Bgy,,,R,676
025010012,Kayapa Proper East,Bgy,,,R,252
025010013,Kayapa Proper West,Bgy,,,R,1239
025010014,Mapayao,Bgy,,,R,1775
025010015,Nansiakan,Bgy,,,R,1635
025010016,Pampang (Pob.),Bgy,,,R,987
025010017,Pangawan,Bgy,,,R,632
025010018,Pinayag,Bgy,,,R,2004
025010019,Pingkian,Bgy,,,R,1508
025010020,San Fabian,Bgy,,,R,825
025010021,Talecabcab,Bgy,,,R,333
025010022,Tubongan,Bgy,,,R,629
025010023,Alang-Salacsac,Bgy,,,R,590
025010024,Balete,Bgy,,,R,674
025010025,Buyasyas,Bgy,,,R,406
025010026,Cabayo,Bgy,,,R,725
025010027,Castillo Village,Bgy,,,R,567
025010028,Latbang,Bgy,,,R,880
025010029,Lawigan,Bgy,,,R,580
025010030,Tidang Village,Bgy,,,R,392
025011000,QUEZON,Mun,,4th,,21056
025011001,Aurora,Bgy,,,R,1578
025011002,Baresbes,Bgy,,,R,1419
025011003,Buliwao,Bgy,,,R,2723
025011004,Bonifacio,Bgy,,,R,855
025011005,Calaocan,Bgy,,,R,1090
025011006,Caliat (Pob.),Bgy,,,R,1875
025011007,Darubba,Bgy,,,R,1581
025011008,Maddiangat,Bgy,,,R,2353
025011009,Nalubbunan,Bgy,,,R,1604
025011010,Runruno,Bgy,,,U,3771
025011011,Maasin,Bgy,,,R,953
025011012,Dagupan,Bgy,,,R,1254
025012000,SANTA FE,Mun,,3rd,,16180
025012002,Bacneng,Bgy,,,R,1428
025012003,Baliling,Bgy,,,R,1980
025012004,Bantinan,Bgy,,,R,1310
025012005,Baracbac,Bgy,,,R,693
025012006,Buyasyas,Bgy,,,R,921
025012008,Imugan,Bgy,,,R,751
025012009,Poblacion,Bgy,,,R,1084
025012010,Sinapaoan,Bgy,,,R,1087
025012011,Tactac,Bgy,,,R,1274
025012012,Villa Flores,Bgy,,,R,2077
025012013,Atbu,Bgy,,,R,448
025012014,Balete,Bgy,,,R,716
025012015,Canabuan,Bgy,,,R,1650
025012016,Malico,Bgy,,,R,226
025012017,Santa Rosa,Bgy,,,R,209
025012018,Unib,Bgy,,,R,326
025013000,SOLANO,Mun,,1st,,59517
025013001,Aggub,Bgy,,,R,2881
025013002,Bangaan,Bgy,,,R,1185
025013003,Bangar,Bgy,,,R,1112
025013004,Bascaran,Bgy,,,R,3388
025013005,Curifang,Bgy,,,R,3756
025013006,Dadap,Bgy,,,R,993
025013007,Lactawan,Bgy,,,R,1354
025013008,Osmeña,Bgy,,,U,5343
025013009,Poblacion North,Bgy,,,U,1085
025013010,Poblacion South,Bgy,,,U,1184
025013011,Quezon,Bgy,,,U,5009
025013012,Quirino,Bgy,,,U,6220
025013013,Roxas,Bgy,,,U,7954
025013014,San Juan,Bgy,,,R,1690
025013015,San Luis,Bgy,,,R,2405
025013017,Tucal,Bgy,,,R,1151
025013018,Uddiawan,Bgy,,,R,3712
025013019,Wacal,Bgy,,,R,1283
025013020,Bagahabag,Bgy,,,R,3219
025013021,Communal,Bgy,,,R,2179
025013022,Concepcion (Calalabangan),Bgy,,,R,1401
025013023,Pilar D. Galima,Bgy,,,R,1013
025014000,VILLAVERDE,Mun,,5th,,18507
025014001,Bintawan Sur,Bgy,,,R,2895
025014002,Ibung,Bgy,,,R,4334
025014003,Cabuluan,Bgy,,,R,1658
025014004,Nagbitin,Bgy,,,R,2233
025014005,Ocapon,Bgy,,,R,970
025014006,Pieza,Bgy,,,R,1396
025014007,Sawmill,Bgy,,,R,1577
025014008,Poblacion (Turod),Bgy,,,R,946
025014009,Bintawan Norte,Bgy,,,R,2498
025015000,ALFONSO CASTANEDA,Mun,,1st,,7940
025015001,Abuyo,Bgy,,,R,1521
025015002,Galintuja,Bgy,,,R,770
025015003,Cauayan,Bgy,,,R,415
025015004,Lipuga,Bgy,,,R,410
025015005,Lublub (Pob.),Bgy,,,R,3634
025015006,Pelaway,Bgy,,,R,1190
025700000,QUIRINO,Prov,,3rd,,188991
025701000,AGLIPAY,Mun,,3rd,,27787
025701001,Dagupan,Bgy,,,R,1090
025701002,Dumabel,Bgy,,,R,1160
025701003,Dungo (Osmeña),Bgy,,,R,896
025701004,Guinalbin,Bgy,,,R,823
025701005,Ligaya,Bgy,,,R,1844
025701006,Palacian,Bgy,,,R,1988
025701007,Pinaripad Sur,Bgy,,,R,1242
025701008,Progreso (Pob.),Bgy,,,R,1192
025701009,Ramos,Bgy,,,R,768
025701010,Rang-ayan,Bgy,,,R,273
025701011,San Antonio,Bgy,,,R,551
025701012,San Francisco,Bgy,,,R,1836
025701013,San Leonardo (Cabarroguis),Bgy,,,U,2352
025701014,San Ramon,Bgy,,,R,706
025701015,Victoria,Bgy,,,R,1295
025701016,Villa Pagaduan,Bgy,,,R,818
025701017,Villa Santiago,Bgy,,,R,1452
025701018,Alicia,Bgy,,,R,1325
025701019,Cabugao,Bgy,,,R,468
025701020,Diodol,Bgy,,,R,891
025701021,Nagabgaban,Bgy,,,R,651
025701022,Pinaripad Norte,Bgy,,,R,1152
025701023,San Benigno,Bgy,,,R,1343
025701024,San Manuel,Bgy,,,R,853
025701025,Villa Ventura,Bgy,,,R,818
025702000,CABARROGUIS (Capital),Mun,,3rd,,30582
025702001,Banuar,Bgy,,,R,473
025702002,Burgos,Bgy,,,R,3591
025702003,Calaocan,Bgy,,,R,777
025702004,Del Pilar,Bgy,,,R,561
025702005,Dibibi,Bgy,,,R,2618
025702006,Eden,Bgy,,,R,1180
025702007,Gundaway (Pob.),Bgy,,,U,4188
025702008,Mangandingay (Pob.),Bgy,,,R,3448
025702009,San Marcos,Bgy,,,R,2506
025702010,Villamor,Bgy,,,R,2279
025702011,Zamora,Bgy,,,R,3105
025702012,Villarose,Bgy,,,R,735
025702013,Villa Peña (Capellangan),Bgy,,,R,708
025702014,Dingasan,Bgy,,,R,1283
025702015,Tucod,Bgy,,,R,1956
025702016,Gomez,Bgy,,,R,522
025702017,Santo Domingo,Bgy,,,R,652
025703000,DIFFUN,Mun,,2nd,,52569
025703001,Andres Bonifacio (Pob.),Bgy,,,U,3740
025703002,Aurora East (Pob.),Bgy,,,U,1658
025703003,Aurora West (Pob.),Bgy,,,R,2652
025703004,Baguio Village,Bgy,,,R,949
025703005,Balagbag,Bgy,,,R,1730
025703006,Bannawag,Bgy,,,R,2126
025703007,Cajel,Bgy,,,R,2089
025703008,Campamento,Bgy,,,R,1517
025703009,Diego Silang,Bgy,,,R,1852
025703010,"Don Mariano Perez, Sr.",Bgy,,,R,792
025703011,Doña Imelda,Bgy,,,R,605
025703012,Dumanisi,Bgy,,,R,1957
025703013,Gabriela Silang,Bgy,,,R,2150
025703014,Gulac,Bgy,,,R,1770
025703015,Guribang,Bgy,,,R,1350
025703016,Ifugao Village,Bgy,,,R,1506
025703017,Isidro Paredes,Bgy,,,R,1800
025703018,Rizal (Pob.),Bgy,,,R,3674
025703019,Liwayway,Bgy,,,R,2542
025703020,Luttuad,Bgy,,,U,1989
025703021,Magsaysay,Bgy,,,R,940
025703022,Makate,Bgy,,,R,681
025703023,Maria Clara,Bgy,,,R,1505
025703024,Rafael Palma (Don Sergio Osmeña),Bgy,,,R,786
025703025,Ricarte Norte,Bgy,,,R,1588
025703026,Ricarte Sur,Bgy,,,R,698
025703027,San Antonio,Bgy,,,R,1542
025703028,San Isidro,Bgy,,,R,1940
025703029,San Pascual,Bgy,,,R,698
025703030,Villa Pascua,Bgy,,,R,1491
025703031,Aklan Village,Bgy,,,R,909
025703032,Gregorio Pimentel,Bgy,,,R,830
025703033,Don Faustino Pagaduan,Bgy,,,R,513
025704000,MADDELA,Mun,,1st,,38499
025704001,Abbag,Bgy,,,R,856
025704003,Balligui,Bgy,,,R,2250
025704004,Divisoria Sur (Bisangal),Bgy,,,R,999
025704005,Buenavista,Bgy,,,R,1262
025704006,Cabaruan,Bgy,,,R,1731
025704007,Cabua-an,Bgy,,,R,806
025704008,Cofcaville,Bgy,,,R,688
025704009,Diduyon,Bgy,,,R,854
025704010,Dipintin,Bgy,,,R,2929
025704011,Divisoria Norte,Bgy,,,R,616
025704012,Dumabato Norte,Bgy,,,R,1498
025704013,Dumabato Sur,Bgy,,,R,1422
025704014,Lusod,Bgy,,,R,2061
025704015,Manglad,Bgy,,,R,684
025704016,Pedlisan,Bgy,,,R,638
025704017,Poblacion Norte,Bgy,,,U,3111
025704019,San Bernabe,Bgy,,,R,953
025704021,San Dionisio I,Bgy,,,R,595
025704023,San Martin,Bgy,,,R,1084
025704024,San Pedro,Bgy,,,R,1133
025704025,San Salvador,Bgy,,,R,509
025704026,Santo Niño,Bgy,,,R,1052
025704027,Santo Tomas,Bgy,,,R,588
025704028,Villa Gracia,Bgy,,,R,942
025704029,Villa Hermosa Sur,Bgy,,,R,2075
025704030,Villa Hermosa Norte,Bgy,,,R,1568
025704032,Ysmael,Bgy,,,R,616
025704034,Villa Agullana,Bgy,,,R,415
025704036,Poblacion Sur,Bgy,,,R,2220
025704037,Villa Jose V Ylanan,Bgy,,,R,480
025704038,Jose Ancheta,Bgy,,,R,1120
025704039,Santa Maria,Bgy,,,R,744
025705000,SAGUDAY,Mun,,5th,,16070
025705001,Dibul,Bgy,,,R,1376
025705002,La Paz,Bgy,,,R,2984
025705003,Magsaysay (Pob.),Bgy,,,U,2867
025705004,Rizal (Pob.),Bgy,,,R,3211
025705005,Salvacion,Bgy,,,R,1405
025705006,Santo Tomas,Bgy,,,R,1328
025705007,Tres Reyes,Bgy,,,R,909
025705008,Cardenas,Bgy,,,R,961
025705009,Gamis,Bgy,,,R,1029
025706000,NAGTIPUNAN,Mun,,1st,,23484
025706001,Anak,Bgy,,,R,1680
025706002,Dipantan,Bgy,,,R,1415
025706003,Dissimungal,Bgy,,,R,1954
025706004,Guino (Giayan),Bgy,,,R,1741
025706005,La Conwap (Guingin),Bgy,,,R,523
025706006,Landingan,Bgy,,,R,1868
025706007,Mataddi,Bgy,,,R,531
025706008,Matmad,Bgy,,,R,431
025706009,Old Gumiad,Bgy,,,R,845
025706010,Ponggo,Bgy,,,R,3081
025706011,San Dionisio II,Bgy,,,R,3795
025706012,San Pugo,Bgy,,,R,431
025706013,San Ramos,Bgy,,,R,829
025706014,Sangbay,Bgy,,,R,1900
025706015,Wasid,Bgy,,,R,1208
025706016,Asaklat,Bgy,,,R,1252
030000000,REGION III (CENTRAL LUZON),Reg,,,,11218177
030800000,BATAAN,Prov,,1st,,760650
030801000,ABUCAY,Mun,,3rd,,39880
030801001,Bangkal,Bgy,,,R,695
030801002,Calaylayan (Pob.),Bgy,,,U,4833
030801003,Capitangan,Bgy,,,U,6742
030801004,Gabon,Bgy,,,U,5405
030801006,Laon (Pob.),Bgy,,,R,2303
030801007,Mabatang,Bgy,,,U,9165
030801008,Omboy,Bgy,,,R,3149
030801010,Salian,Bgy,,,R,3199
030801011,Wawa (Pob.),Bgy,,,U,4389
030802000,BAGAC,Mun,,3rd,,26936
030802001,Bagumbayan (Pob.),Bgy,,,U,1978
030802002,Banawang,Bgy,,,R,2784
030802003,Binuangan,Bgy,,,R,613
030802004,Binukawan,Bgy,,,R,2356
030802006,Ibaba,Bgy,,,U,1689
030802007,Ibis,Bgy,,,U,1660
030802008,Pag-asa (Wawa-Sibacan),Bgy,,,U,3271
