region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
10000000,2021-01-18,,nowcast,0.9103535621,0.9028361135,0.05824291362,0.7941802307,0.871113016,0.8970738481,0.922695756,0.9419647172,0.9845338321
10000000,2021-01-19,,nowcast,0.9012596254,0.8946310388,0.05771106719,0.7879405379,0.8627587248,0.8883605118,0.9140315343,0.9329297438,0.9762902015
10000000,2021-01-20,,nowcast,0.8937545619,0.8877653943,0.05687105657,0.7844761108,0.8560998334,0.8804898752,0.9063681579,0.925561605,0.968537615
10000000,2021-01-21,,nowcast,0.8879066406,0.8821889549,0.055747349,0.7828530572,0.8502147791,0.8749952761,0.8994089051,0.9191092238,0.9624749259
10000000,2021-01-22,,nowcast,0.8825073662,0.8778510869,0.05440386176,0.7811335592,0.8461043253,0.8698986823,0.8943768455,0.9139533422,0.9575305107
10000000,2021-01-23,,nowcast,0.8785766367,0.8747006793,0.05294792518,0.7804758786,0.8434486206,0.8659356018,0.8901912885,0.909559201,0.9535054577
10000000,2021-01-24,,nowcast,0.8759471503,0.8726842539,0.05152282845,0.7822811162,0.8421581417,0.863635164,0.8872832268,0.9062834261,0.9500652159
10000000,2021-01-25,,nowcast,0.8740534165,0.8717428762,0.05028974716,0.7858144637,0.8419809377,0.8622390089,0.8855167308,0.9041573587,0.9487225243
10000000,2021-01-26,,nowcast,0.8731103048,0.8718087258,0.04940224527,0.788382495,0.8425631713,0.861720689,0.884348988,0.9027451513,0.9481151308
10000000,2021-01-27,,nowcast,0.8730458143,0.8728022406,0.04897786449,0.7911194606,0.8440170921,0.8623327413,0.8837940395,0.902320604,0.9501451931
10000000,2021-01-28,,nowcast,0.8744196008,0.8746306016,0.04907287705,0.7955448249,0.8455282874,0.8636809984,0.8849362109,0.9036180436,0.9537356294
10000000,2021-01-29,,nowcast,0.8762219614,0.8771880528,0.04966778335,0.7994710272,0.8468720496,0.8655138274,0.8868883244,0.9054974186,0.959583336
10000000,2021-01-30,,nowcast,0.8788055396,0.880358218,0.05066961056,0.8033768003,0.8489419391,0.8677567932,0.8890518911,0.90815523,0.9657877722
10000000,2021-01-31,,nowcast,0.8813216772,0.8840182632,0.05193109676,0.8068740142,0.8516138239,0.8703187576,0.8923350119,0.911518689,0.9724199504
10000000,2021-02-01,,nowcast,0.8842628863,0.8880444949,0.05328024533,0.8105585555,0.8545237476,0.8731276163,0.8953968872,0.915932437,0.9796705519
10000000,2021-02-02,,nowcast,0.8878666436,0.8923188319,0.05455110951,0.8150279379,0.8585681775,0.8767755611,0.8986263439,0.9201082529,0.9868885812
10000000,2021-02-03,,nowcast,0.8914874354,0.8967355331,0.05560818997,0.8180750557,0.8621307915,0.8804842454,0.9029462928,0.9243707759,0.9960081461
10000000,2021-02-04,,nowcast,0.8955168952,0.9012075665,0.05636043952,0.8214182347,0.8658640465,0.8843472518,0.9069596362,0.9289114298,1.003030696
10000000,2021-02-05,,nowcast,0.8999701335,0.9056720495,0.05676532776,0.8251779779,0.8704221339,0.8884434678,0.9111458004,0.9331328643,1.00929864
10000000,2021-02-06,,nowcast,0.9045431241,0.91009423,0.05682689483,0.8296644819,0.8746096437,0.893108337,0.915904151,0.938272611,1.014002397
10000000,2021-02-07,,nowcast,0.9090434651,0.9144695497,0.05659144972,0.8329698813,0.8788400766,0.8975927777,0.9207745955,0.9426364532,1.018687762
10000000,2021-02-08,,nowcast,0.9141712941,0.9188234789,0.05614070924,0.8368302604,0.8830674257,0.902291499,0.9256450418,0.9473662374,1.020694819
10000000,2021-02-09,,nowcast,0.919236937,0.9232090848,0.05557940898,0.841049667,0.8877891132,0.9075060138,0.9309789908,0.9523947676,1.02304605
10000000,2021-02-10,,nowcast,0.9246148883,0.92770269,0.05501677737,0.8447992996,0.8931883301,0.9126549882,0.9365586359,0.9574879949,1.023352681
10000000,2021-02-11,,nowcast,0.9296980321,0.9323983199,0.05454682089,0.8493000691,0.8988353473,0.9184463756,0.9418296815,0.9628981306,1.025557887
10000000,2021-02-12,,nowcast,0.9355625848,0.9374017525,0.05423517708,0.8531184727,0.9047657782,0.9241837274,0.9478534134,0.9678857121,1.02752247
10000000,2021-02-13,,nowcast,0.9422354049,0.9428247826,0.05411704867,0.857762908,0.9106681117,0.9302305158,0.9538717201,0.9739885479,1.031344296
10000000,2021-02-14,,nowcast,0.9487104025,0.9487799296,0.05420434894,0.8625546126,0.9173065569,0.9368463,0.9603541624,0.9810079882,1.03619916
10000000,2021-02-15,,nowcast,0.9559697353,0.9553755005,0.05449584001,0.8653198414,0.9242402243,0.9443430762,0.9680184113,0.9884569266,1.04120916
10000000,2021-02-16,,nowcast,0.9638672066,0.9627108575,0.05498317812,0.8698354484,0.9315426334,0.9524809378,0.9763919774,0.9962481777,1.049203054
10000000,2021-02-17,,nowcast,0.972769837,0.9708719358,0.05564781666,0.8764809527,0.9397375833,0.9610930669,0.9852531933,1.005513655,1.05586218
10000000,2021-02-18,,nowcast,0.9822581936,0.9799273348,0.05645019399,0.8838219291,0.9483867939,0.9707085229,0.9948532025,1.015146904,1.065555453
10000000,2021-02-19,,nowcast,0.993188649,0.989925427,0.05732168941,0.8915123979,0.9580487356,0.980453193,1.005628629,1.025404916,1.076119658
10000000,2021-02-20,,nowcast,1.005077061,1.000892745,0.05817169637,0.9011581414,0.9690604933,0.9917395209,1.017105897,1.036970301,1.088668587
10000000,2021-02-21,,nowcast,1.017560265,1.012833515,0.05891119576,0.9112020347,0.9805371229,1.003260498,1.029458994,1.049259236,1.101793806
10000000,2021-02-22,,nowcast,1.030023573,1.025729867,0.05948010984,0.9233643767,0.9924666598,1.016313173,1.042288681,1.062801937,1.115066089
10000000,2021-02-23,,nowcast,1.043459903,1.039542247,0.05986242411,0.9375113272,1.005802125,1.029493485,1.055241367,1.076784228,1.13068364
10000000,2021-02-24,,nowcast,1.057231477,1.054209862,0.06008257345,0.9532041114,1.020501024,1.044052916,1.069661447,1.091347338,1.146303405
10000000,2021-02-25,,nowcast,1.071710652,1.069651372,0.06018976307,0.9690371843,1.035415067,1.058804767,1.084388653,1.106565823,1.162995267
10000000,2021-02-26,,nowcast,1.087218205,1.085766205,0.06024351443,0.9853963936,1.050674317,1.074211479,1.099830136,1.122447684,1.179329093
10000000,2021-02-27,,nowcast,1.103220009,1.102436736,0.06030919105,1.003132886,1.067412928,1.090189667,1.115900999,1.138404032,1.196443283
10000000,2021-02-28,,nowcast,1.119538852,1.119531257,0.06046033268,1.021701903,1.083521889,1.106432178,1.132914537,1.154677307,1.215420159
10000000,2021-03-01,,nowcast,1.136007389,1.13690749,0.06077593758,1.040347718,1.099861231,1.123030219,1.149696558,1.172452853,1.235611329
10000000,2021-03-02,,nowcast,1.152919698,1.15441637,0.06132452402,1.057918447,1.116759368,1.139827965,1.166425339,1.189879559,1.25605446
10000000,2021-03-03,,nowcast,1.170436126,1.171905986,0.06213993117,1.075878805,1.133225236,1.156319763,1.183949628,1.207158567,1.276212715
10000000,2021-03-04,,nowcast,1.187071765,1.189225655,0.06320226699,1.093031615,1.149593011,1.172452033,1.200728181,1.225473492,1.295116819
10000000,2021-03-05,,nowcast,1.203253588,1.206230026,0.06443375746,1.109623281,1.165555173,1.188766926,1.218001809,1.242730143,1.316430147
10000000,2021-03-06,,nowcast,1.219111361,1.22278289,0.06571365807,1.125125451,1.181479659,1.204519807,1.234159741,1.259161445,1.335199644
10000000,2021-03-07,,nowcast,1.234654008,1.238760071,0.06691492792,1.140060619,1.195918241,1.219774156,1.250015285,1.275650194,1.354561974
10000000,2021-03-08,,nowcast,1.249823188,1.254050499,0.06795310706,1.153583966,1.210718136,1.234301954,1.264707017,1.291537682,1.371457906
10000000,2021-03-09,,nowcast,1.263516785,1.268554641,0.06881518276,1.16864919,1.225133341,1.247768365,1.279243656,1.306825075,1.387835013
10000000,2021-03-10,,nowcast,1.276369288,1.282180346,0.06954089242,1.180676417,1.237611887,1.261035071,1.292399497,1.321301908,1.403091907
10000000,2021-03-11,,nowcast,1.288803624,1.294837324,0.07017244646,1.192245529,1.24909871,1.27365117,1.305095073,1.334804342,1.416403379
10000000,2021-03-12,,nowcast,1.300046141,1.306432269,0.0707187322,1.203401501,1.260258659,1.284917164,1.316896773,1.346698003,1.429935802
10000000,2021-03-13,,nowcast,1.310371394,1.316866279,0.07115822967,1.213081666,1.270177771,1.295516714,1.327194892,1.357521085,1.44283658
10000000,2021-03-14,,nowcast,1.319629602,1.326035215,0.07146521412,1.221710174,1.278785997,1.304491264,1.335800862,1.367170713,1.453726353
