"","date","confirm","region"
"155",2021-12-13,10,"100000000"
"156",2021-12-14,6,"100000000"
"157",2021-12-15,27,"100000000"
"158",2021-12-16,10,"100000000"
"159",2021-12-17,14,"100000000"
"160",2021-12-18,5,"100000000"
"161",2021-12-19,1,"100000000"
"162",2021-12-20,2,"100000000"
"163",2021-12-21,6,"100000000"
"164",2021-12-22,5,"100000000"
"165",2021-12-23,2,"100000000"
"166",2021-12-24,3,"100000000"
"167",2021-12-25,6,"100000000"
"168",2021-12-26,2,"100000000"
"169",2021-12-27,7,"100000000"
"170",2021-12-28,6,"100000000"
"171",2021-12-29,14,"100000000"
"172",2021-12-30,15,"100000000"
"173",2021-12-31,16,"100000000"
"174",2022-01-01,24,"100000000"
"175",2022-01-02,14,"100000000"
"176",2022-01-03,11,"100000000"
"177",2022-01-04,17,"100000000"
"178",2022-01-05,20,"100000000"
"179",2022-01-06,47,"100000000"
"180",2022-01-07,65,"100000000"
"181",2022-01-08,113,"100000000"
"182",2022-01-09,141,"100000000"
"183",2022-01-10,143,"100000000"
"184",2022-01-11,104,"100000000"
"185",2022-01-12,143,"100000000"
"186",2022-01-13,267,"100000000"
"187",2022-01-14,202,"100000000"
"188",2022-01-15,361,"100000000"
"189",2022-01-16,326,"100000000"
"190",2022-01-17,533,"100000000"
"191",2022-01-18,351,"100000000"
"192",2022-01-19,408,"100000000"
"193",2022-01-20,863,"100000000"
"194",2022-01-21,884,"100000000"
"195",2022-01-22,1049,"100000000"
"196",2022-01-23,1147,"100000000"
"197",2022-01-24,996,"100000000"
"198",2022-01-25,780,"100000000"
"199",2022-01-26,760,"100000000"
"200",2022-01-27,902,"100000000"
"201",2022-01-28,1193,"100000000"
"202",2022-01-29,926,"100000000"
"203",2022-01-30,1209,"100000000"
"204",2022-01-31,720,"100000000"
"205",2022-02-01,367,"100000000"
"206",2022-02-02,306,"100000000"
"207",2022-02-03,579,"100000000"
"208",2022-02-04,317,"100000000"
"209",2022-02-05,513,"100000000"
"210",2022-02-06,539,"100000000"
"211",2022-02-07,356,"100000000"
"212",2022-02-08,157,"100000000"
"213",2022-02-09,131,"100000000"
"214",2022-02-10,360,"100000000"
"215",2022-02-11,163,"100000000"
"216",2022-02-12,172,"100000000"
"217",2022-02-13,113,"100000000"
"218",2022-02-14,94,"100000000"
"219",2022-02-15,66,"100000000"
"220",2022-02-16,58,"100000000"
"221",2022-02-17,107,"100000000"
"222",2022-02-18,87,"100000000"
"223",2022-02-19,67,"100000000"
"224",2022-02-20,63,"100000000"
"225",2021-11-01,16,"101300000"
"226",2021-11-02,6,"101300000"
"227",2021-11-03,16,"101300000"
"228",2021-11-04,4,"101300000"
"229",2021-11-05,10,"101300000"
"230",2021-11-06,4,"101300000"
"231",2021-11-07,12,"101300000"
"232",2021-11-08,5,"101300000"
"233",2021-11-09,7,"101300000"
