,X,Bgy_Code,cases_7,cases_14,infection_rate,classification,population,AR_7,AR_14,AR_cumulative,AR_active,linelist_date
30430,19,83722010,0,0,0,NA,0,0,0,0,0,2021-11-14
30431,20,83722012,0,0,0,NA,0,0,0,0,0,2021-11-14
30432,21,83722006,0,0,0,NA,0,0,0,0,0,2021-11-14
30433,22,83722011,0,2,3.750937734,NA,5332,0,3.750937734,221.3053263,1.875468867,2021-11-14
30434,23,83722014,2,2,3.348961822,NA,5972,3.348961822,3.348961822,102.1433356,1.674480911,2021-11-14
30435,24,83722021,0,0,0,NA,0,0,0,0,0,2021-11-14
30436,1,83723011,0,0,0,NA,0,0,0,0,0,2021-11-14
30437,2,83723028,0,0,0,NA,0,0,0,0,0,2021-11-14
30438,3,83723023,0,0,0,NA,0,0,0,0,0,2021-11-14
30439,4,83723044,0,0,0,NA,0,0,0,0,0,2021-11-14
30440,5,83723015,0,1,9.746588694,NA,1026,0,9.746588694,272.9044834,0,2021-11-14
30441,6,83723029,1,2,8.830022075,NA,2265,4.415011038,8.830022075,326.7108168,13.24503311,2021-11-14
30442,7,83723010,0,0,0,NA,0,0,0,0,0,2021-11-14
30443,8,83723014,0,0,0,NA,0,0,0,0,0,2021-11-14
30444,9,83723041,0,0,0,NA,0,0,0,0,0,2021-11-14
30445,10,83723040,0,0,0,NA,0,0,0,0,0,2021-11-14
30446,11,83723013,0,0,0,NA,0,0,0,0,0,2021-11-14
30447,12,83723005,0,0,0,NA,0,0,0,0,0,2021-11-14
30448,13,83723019,0,0,0,NA,0,0,0,0,0,2021-11-14
30449,14,83723027,0,0,0,NA,0,0,0,0,0,2021-11-14
30450,15,83723037,0,0,0,NA,0,0,0,0,0,2021-11-14
30451,16,83723047,0,0,0,1,0,0,0,0,0,2021-11-14
30452,17,83723002,0,0,0,NA,0,0,0,0,0,2021-11-14
30453,18,83723030,0,0,0,NA,0,0,0,0,0,2021-11-14
30454,19,83723020,0,0,0,NA,0,0,0,0,0,2021-11-14
30455,20,83723046,1,1,29.23976608,1,342,29.23976608,29.23976608,29.23976608,29.23976608,2021-11-14
30456,21,83723045,0,0,0,NA,0,0,0,0,0,2021-11-14
30457,22,83723036,0,0,0,NA,0,0,0,0,0,2021-11-14
30458,23,83723031,0,0,0,NA,0,0,0,0,0,2021-11-14
30459,24,83723018,0,0,0,NA,0,0,0,0,0,2021-11-14
30460,25,83723012,0,0,0,NA,0,0,0,0,0,2021-11-14
30461,26,83723016,0,0,0,NA,0,0,0,0,0,2021-11-14
30462,27,83723003,0,0,0,NA,0,0,0,0,0,2021-11-14
30463,28,83723035,0,0,0,1,0,0,0,0,0,2021-11-14
30464,29,83723001,0,0,0,NA,0,0,0,0,0,2021-11-14
30465,30,83723004,0,0,0,NA,0,0,0,0,0,2021-11-14
30466,31,83723006,0,0,0,NA,0,0,0,0,0,2021-11-14
30467,32,83723007,0,0,0,NA,0,0,0,0,0,2021-11-14
30468,33,83723008,0,0,0,NA,0,0,0,0,0,2021-11-14
30469,34,83723009,0,1,6.93962526,NA,1441,0,6.93962526,76.33587786,6.93962526,2021-11-14
30470,35,83723017,0,0,0,NA,0,0,0,0,0,2021-11-14
30471,36,83723021,0,0,0,NA,0,0,0,0,0,2021-11-14
30472,37,83723024,0,0,0,NA,0,0,0,0,0,2021-11-14
30473,38,83723025,0,0,0,NA,0,0,0,0,0,2021-11-14
30474,39,83723026,0,0,0,NA,0,0,0,0,0,2021-11-14
30475,40,83723032,0,0,0,NA,0,0,0,0,0,2021-11-14
30476,41,83723033,0,0,0,NA,0,0,0,0,0,2021-11-14
30477,42,83723034,0,0,0,NA,0,0,0,0,0,2021-11-14
30478,43,83723038,0,0,0,NA,0,0,0,0,0,2021-11-14
30479,44,83723039,0,0,0,NA,0,0,0,0,0,2021-11-14
30480,45,83723042,0,0,0,NA,0,0,0,0,0,2021-11-14
30481,46,83723043,0,0,0,NA,0,0,0,0,0,2021-11-14
30482,1,83724013,0,0,0,NA,0,0,0,0,0,2021-11-14
30483,2,83724006,0,0,0,NA,0,0,0,0,0,2021-11-14
30484,3,83724020,0,0,0,NA,0,0,0,0,0,2021-11-14
30485,4,83724009,0,0,0,NA,0,0,0,0,0,2021-11-14
30486,5,83724027,0,0,0,NA,0,0,0,0,0,2021-11-14
30487,6,83724007,0,0,0,NA,0,0,0,0,0,2021-11-14
30488,7,83724029,0,0,0,NA,0,0,0,0,0,2021-11-14
30489,8,83724014,0,0,0,NA,0,0,0,0,0,2021-11-14
30490,9,83724003,0,0,0,NA,0,0,0,0,0,2021-11-14
30491,10,83724018,0,0,0,NA,0,0,0,0,0,2021-11-14
30492,11,83724012,0,0,0,NA,0,0,0,0,0,2021-11-14
30493,12,83724021,0,0,0,NA,0,0,0,0,0,2021-11-14
30494,13,83724016,0,0,0,NA,0,0,0,0,0,2021-11-14
30495,14,83724023,0,0,0,NA,0,0,0,0,0,2021-11-14
30496,15,83724001,0,0,0,NA,0,0,0,0,0,2021-11-14
30497,16,83724002,0,0,0,NA,0,0,0,0,0,2021-11-14
30498,17,83724004,0,0,0,NA,0,0,0,0,0,2021-11-14
30499,18,83724005,0,0,0,1,0,0,0,0,0,2021-11-14
30500,19,83724008,0,0,0,NA,0,0,0,0,0,2021-11-14
30501,20,83724010,0,0,0,NA,0,0,0,0,0,2021-11-14
30502,21,83724011,0,0,0,NA,0,0,0,0,0,2021-11-14
30503,22,83724015,0,0,0,NA,0,0,0,0,0,2021-11-14
30504,23,83724017,0,0,0,NA,0,0,0,0,0,2021-11-14
30505,24,83724019,0,0,0,NA,0,0,0,0,0,2021-11-14
30506,25,83724022,0,0,0,NA,0,0,0,0,0,2021-11-14
30507,26,83724024,0,0,0,NA,0,0,0,0,0,2021-11-14
30508,27,83724026,0,0,0,NA,0,0,0,0,0,2021-11-14
30509,28,83724028,0,0,0,NA,0,0,0,0,0,2021-11-14
30510,1,83725022,0,0,0,NA,0,0,0,0,0,2021-11-14
30511,2,83725002,0,0,0,NA,0,0,0,0,0,2021-11-14
30512,3,83725028,0,0,0,NA,0,0,0,0,0,2021-11-14
30513,4,83725007,0,0,0,NA,0,0,0,0,0,2021-11-14
30514,5,83725010,0,0,0,NA,0,0,0,0,0,2021-11-14
30515,6,83725025,0,0,0,NA,0,0,0,0,0,2021-11-14
30516,7,83725014,0,0,0,NA,0,0,0,0,0,2021-11-14
