"","Bgy_Code","cases_7","cases_14","infection_rate","classification","population","AR_7","AR_14","AR_cumulative"
"102",137404062,0,0,NA,NA,1,NA,NA,NA
"103",137404063,0,0,NA,NA,1,NA,NA,NA
"104",137404064,0,0,NA,NA,1,NA,NA,NA
"105",137404066,0,0,NA,NA,1,NA,NA,NA
"106",137404067,0,0,NA,NA,1,NA,NA,NA
"107",137404068,0,0,NA,NA,1,NA,NA,NA
"108",137404069,0,0,NA,NA,1,NA,NA,NA
"109",137404071,0,0,NA,NA,1,NA,NA,NA
"110",137404073,0,0,NA,NA,1,NA,NA,NA
"111",137404076,0,0,NA,NA,1,NA,NA,NA
"112",137404078,0,0,NA,NA,1,NA,NA,NA
"113",137404080,0,2,0.193986420950533,NA,103100,0,0.193986420950533,3.00678952473327
"114",137404081,0,0,NA,NA,1,NA,NA,NA
"115",137404082,0,0,NA,NA,1,NA,NA,NA
"116",137404084,0,0,NA,NA,1,NA,NA,NA
"117",137404085,0,0,NA,NA,1,NA,NA,NA
"118",137404093,0,0,NA,NA,1,NA,NA,NA
"119",137404094,0,0,NA,NA,1,NA,NA,NA
"120",137404098,0,0,NA,NA,1,NA,NA,NA
"121",137404100,0,0,NA,4,1,NA,NA,NA
"122",137404102,0,0,NA,NA,1,NA,NA,NA
"123",137404103,0,0,NA,NA,1,NA,NA,NA
"124",137404106,1,2,0.42961785491805,NA,46553,0.214808927459025,0.42961785491805,2.36289820204928
"125",137404108,0,1,0.962278675904542,NA,10392,0,0.962278675904542,5.77367205542725
"126",137404109,0,0,NA,NA,1,NA,NA,NA
"127",137404110,0,0,NA,NA,1,NA,NA,NA
"128",137404111,0,0,NA,NA,1,NA,NA,NA
"129",137404112,0,0,NA,NA,1,NA,NA,NA
"130",137404114,0,0,NA,NA,1,NA,NA,NA
"131",137404119,2,2,0.570174188214499,NA,35077,0.570174188214499,0.570174188214499,6.84209025857399
"132",137404121,0,1,0.158405803988658,NA,63129,0,0.158405803988658,10.1379714552741
"133",137404122,0,0,NA,NA,1,NA,NA,NA
"134",137404123,0,0,NA,NA,1,NA,NA,NA
"135",137404127,0,0,NA,NA,1,NA,NA,NA
"136",137404130,0,0,NA,NA,1,NA,NA,NA
"137",137404133,0,0,NA,NA,1,NA,NA,NA
"138",137404134,0,0,NA,NA,1,NA,NA,NA
"139",137404135,0,0,NA,NA,1,NA,NA,NA
"140",137404136,0,0,NA,NA,1,NA,NA,NA
"141",137404141,0,1,0.439290107186786,NA,22764,0,0.439290107186786,1.31787032156036
"142",137404142,0,0,NA,NA,1,NA,NA,NA
