"","X","Bgy_Code","cases_7","cases_14","infection_rate","classification","population","AR_7","AR_14","AR_cumulative","AR_active","linelist_date"
"7494",8,153801012,0,0,0,NA,0,0,0,0,0,2022-04-17
"7495",9,153801014,0,0,0,NA,0,0,0,0,0,2022-04-17
"7496",10,153801028,0,0,0,1,0,0,0,0,0,2022-04-17
"7497",11,153801031,0,0,0,NA,0,0,0,0,0,2022-04-17
"7498",1,153802018,0,0,0,NA,0,0,0,0,0,2022-04-17
"7499",2,153802017,0,0,0,NA,0,0,0,0,0,2022-04-17
"7500",3,153802011,0,0,0,NA,0,0,0,0,0,2022-04-17
"7501",4,153802020,0,0,0,NA,0,0,0,0,0,2022-04-17
"7502",5,153802009,0,1,2.52143217347453,1,3966,0,2.52143217347453,60.5143721633888,2.52143217347453,2022-04-17
"7503",6,153802023,0,0,0,NA,0,0,0,0,0,2022-04-17
"7504",7,153802012,0,0,0,NA,0,0,0,0,0,2022-04-17
"7505",8,153802022,0,0,0,NA,0,0,0,0,0,2022-04-17
"7506",9,153802005,0,0,0,NA,0,0,0,0,0,2022-04-17
"7507",10,153802021,0,0,0,3,0,0,0,0,0,2022-04-17
"7508",11,153802001,0,0,0,1,0,0,0,0,0,2022-04-17
"7509",12,153802002,0,0,0,NA,0,0,0,0,0,2022-04-17
"7510",13,153802007,0,0,0,NA,0,0,0,0,0,2022-04-17
"7511",14,153802008,0,0,0,NA,0,0,0,0,0,2022-04-17
"7512",15,153802025,0,0,0,NA,0,0,0,0,0,2022-04-17
"7513",1,153805022,0,0,0,NA,0,0,0,0,0,2022-04-17
"7514",2,153805004,0,0,0,NA,0,0,0,0,0,2022-04-17
"7515",3,153805017,0,0,0,NA,0,0,0,0,0,2022-04-17
"7516",4,153805021,0,0,0,NA,0,0,0,0,0,2022-04-17
"7517",5,153805023,0,0,0,NA,0,0,0,0,0,2022-04-17
"7518",6,153805018,0,0,0,NA,0,0,0,0,0,2022-04-17
"7519",7,153805026,0,0,0,NA,0,0,0,0,0,2022-04-17
"7520",8,153805003,0,0,0,NA,0,0,0,0,0,2022-04-17
"7521",9,153805006,0,0,0,NA,0,0,0,0,0,2022-04-17
"7522",10,153805007,0,0,0,NA,0,0,0,0,0,2022-04-17
"7523",11,153805008,0,0,0,NA,0,0,0,0,0,2022-04-17
"7524",12,153805010,0,0,0,NA,0,0,0,0,0,2022-04-17
"7525",13,153805011,0,0,0,NA,0,0,0,0,0,2022-04-17
"7526",14,153805013,0,0,0,NA,0,0,0,0,0,2022-04-17
"7527",15,153805014,0,0,0,NA,0,0,0,0,0,2022-04-17
