,pop,equar,first_date,equar_date,switch_time,lambdaValues,tau,beta,c,omega,thetaA,thetaS,r,epsT,epsI,epsIH,epsHT,E1,E2,E3,E4,E5,E6,E7,E8,E9,mu,deltaS,tv1,tv2,tv3,J,k1,k2,k3,k4,c1,c2,c3,c4,S0,E0,IA0,IS0,V10,Ev10,IAv10,ISv10,V20,Ev20,IAv20,ISv20,V30,Ev30,IAv30,ISv30,Ev40,IAv40,ISv40,Q0,C0,R0,startProjection_date,FittedTo,Convergence,fitness,distance,Geographical.Level,Geographical.Place,popMultiplier,area
1,81598180,7;14;21;28;35;42;49;56;63;71,2021-12-25,2022-01-01;2022-01-08;2022-01-15;2022-01-22;2022-01-29;2022-02-05;2022-02-12;2022-02-19;2022-02-26;2022-03-06,365,-2.24151359943058;-2.42467926443448;0.0300554166984762;0.624586007397736;0.204982842097349;0.926845898804093;-0.300846676891629;0.0765470189742427;-0.0902809646058197;0.134616442371934,3,0.434343268,0.18,0.33,0.1428571,0.1428571,0.1092861,0.001878105,0.001878105,0.000575687,0.000398952,1,1,1,1,1,1,1,1,1,4.05E-05,0.2;0.22;0.22,388240.48;81011.23;71104.07;71104.07,432854.03;224322.11;122902.4;122902.4,51157.03;185179;93960.07;93960.07,10792.48;69908.57;10519.71;10519.71,0.7795876;0.7795876;0.7750260553;0.766926128,0.6644628431;0.6644628431;0.7445195028;0.8046461239,0.4509210006;0.4509210006;0.4868089974;0.5243752865,0.4509210006;0.384995649;0.3969714754;0.4085183217,0.2520291;0.2520291;0.2536955109;0.2585345611,0.2138768;0.2138768;0.2049347846;0.1973943526,0.2959782383;0.2959782383;0.282946094;0.2683426463,0.2959782383;0.2959782383;0.282946094;0.2683426463,48892485,2917,256,3063,12110479,558,72,569,45251589,1009,208,928,1553462,0,0,0,0,0,0,8689,2836440,3718456,2022-02-25,Active,0,0.99830477,5371.970095,national,PhilippinesNational,0.75,180000000
1,10353498,7;14;21;28;35;42;49;56;63;71,2021-12-25,2022-01-01;2022-01-08;2022-01-15;2022-01-22;2022-01-29;2022-02-05;2022-02-12;2022-02-19;2022-02-26;2022-03-06,81,-2.84940200665345;-3.80443610264852;0.918565711060547;0.95;0.777952108946183;-1.19694735256935;-0.492966920107545;0.153720310748761;-0.262260190577402;0.0790300185979138,3,0.434343268,0.18,0.33,0.1428571,0.1428571,0.1092861,0.001878105,0.001878105,0.000588666,0.000334166,1,1,1,1,1,1,1,1,1,4.05E-05,0.15;0.2;0.22,18410.48;19665.24;12442.02;9412.28,33531.73;11404.67;21389.09;10413.9,16031.16;61829.93;22544.62;22544.62,440.97;3188.38;76.49;0,0.762134808;0.762134808;0.7641196229;0.7446717798,0.7556539061;0.7556539061;0.8374925414;0.871703893,0.4688901877;0.4688901877;0.5086916888;0.54566292,0.4225806254;0.4225806254;0.3858813937;0.40744409,0.26586006;0.26586006;0.2632277407;0.2746908014,0.2060613;0.2060613;0.1950978812;0.191156631,0.2986114807;0.2986114807;0.2816785747;0.26741972,0.2986114807;0.2986114807;0.2816785747;0.26741972,1353818.023,100.9934,207.321,479.5866,954605.1463,56.174,206.3416,443.5942,9015092.19,290.3484,255.6074,517.9393,468668,0,0,0,0,0,0,1409.1005,861592.9809,1193545.624,2022-02-25,Active,0,0.993858482,4584.072511,region,NCR-National capital region,0.75,130000000
1,81598180,7;14;21;28;35;42;49;56;63;71,2021-12-25,2022-01-01;2022-01-08;2022-01-15;2022-01-22;2022-01-29;2022-02-05;2022-02-12;2022-02-19;2022-02-26;2022-03-06,365,-3.78061542957451;-2.21728163617878;0.0388936677137806;0.346706215797337;0.878679561980961;0.00242603290977525;0.95;0.34850515366678;0.25580564444617;0.607496698278077,3,0.434343268,0.18,0.33,0.1428571,0.1428571,0.1092861,0.001878105,0.001878105,0.000575687,0.000398952,1,1,1,1,1,1,1,1,1,4.05E-05,0.15;0.18;0.185,388240.48;81011.23;71104.07;71104.07,432854.03;224322.11;122902.4;122902.4,51157.03;185179;93960.07;93960.07,10792.48;69908.57;10519.71;10519.71,0.7795876;0.7795876;0.7750260553;0.766926128,0.6644628431;0.6644628431;0.7445195028;0.8046461239,0.4509210006;0.4509210006;0.4868089974;0.5243752865,0.4509210006;0.384995649;0.3969714754;0.4085183217,0.2520291;0.2520291;0.2536955109;0.2585345611,0.2138768;0.2138768;0.2049347846;0.1973943526,0.2959782383;0.2959782383;0.282946094;0.2683426463,0.2959782383;0.2959782383;0.282946094;0.2683426463,49258247,1068,95,914,12092323,202,27,170,45232140,362,78,279,1553462,0,0,0,0,0,0,8689,2836440,3392771,2022-02-25,Cumulative,52,0.999631334,9852.991345,national,PhilippinesNational,0.75,180000000
1,10353498,7;14;21;28;35;42;49;56;63;71,2021-12-25,2022-01-01;2022-01-08;2022-01-15;2022-01-22;2022-01-29;2022-02-05;2022-02-12;2022-02-19;2022-02-26;2022-03-06,106,-5.47248087526188;-2.01979370251743;0.335804899677504;0.944528155067834;0.54401212970676;0.676628157389721;-0.0648411446963336;0.95;0.0856298828734784;-0.078602454985404,3,0.434343268,0.18,0.33,0.1428571,0.1428571,0.1092861,0.001878105,0.001878105,0.000588666,0.000334166,1,1,1,1,1,1,1,1,1,4.05E-05,0.13;0.15;0.19,18410.48;19665.24;12442.02;9412.28,33531.73;11404.67;21389.09;10413.9,16031.16;61829.93;22544.62;22544.62,440.97;3188.38;76.49;0,0.762134808;0.762134808;0.7641196229;0.7446717798,0.7556539061;0.7556539061;0.8374925414;0.871703893,0.4688901877;0.4688901877;0.5086916888;0.54566292,0.4225806254;0.4225806254;0.3858813937;0.40744409,0.26586006;0.26586006;0.2632277407;0.2746908014,0.2060613;0.2060613;0.1950978812;0.191156631,0.2986114807;0.2986114807;0.2816785747;0.26741972,0.2986114807;0.2986114807;0.2816785747;0.26741972,1585627.663,91.3015,50.7807,183.5689,941925.6115,43.1697,40.9109,138.6186,8999753.27,225.6735,143.5502,294.1325,468668,0,0,0,0,0,0,1409.1005,861592.9809,988853.0216,2022-02-25,Cumulative,0,0.999870511,2410.59551,region,NCR-National capital region,0.75,130000000
