"X","pop","equar","first_date","equar_date","lambdaValues","tau","beta","c","c1","c2","omega","thetaA","thetaS","r","deltaA","deltaA1","deltaA2","epsT","epsI","epsIH","E1","E2","E3","E4","E5","k1","k2","mu","deltaS","v1","v2","S0","E0","IA0","IS0","V10","Ev10","IAv10","ISv10","V20","Ev20","IAv20","ISv20","Q0","C0","R0","startProjection_date","FittedTo","Convergence","fitness","distance","Geographical.Level","Geographical.Place","popMultiplier","area"
2,3137492,"31;62","2021-07-01","2021-07-31;2021-08-31","0.23666488961333;0.385227765800798",5,0.325757451,0.18,0.23596726,0.428928054,0.33,0.071428571,0.071428571,0.09101277,0.0325,0.013,0.013,0.001888834,0.001888834,0.0015475216962,1,1,1,1,1,0.879320809,0.478201895,4.05479e-05,"0.13;0.12","0.000416;0.002194","0.037825;0.166243",4108931,73,20,200,38608,1,0,0,24074,0,0,0,423,423,11094,"2021-08-01","Active",0,0.267106408765562,64.8001777286714,"region","BARMM-BARMM",0.75,150000000
1,3137492,"31;62","2021-07-01","2021-07-31;2021-08-31","0.436059042726998;0.155046365744931",5,0.325757451,0.18,0.23596726,0.428928054,0.33,0.071428571,0.071428571,0.09101277,0.0325,0.013,0.013,0.001888834,0.001888834,0.0015475216962,1,1,1,1,1,0.879320809,0.478201895,4.05479e-05,"0.13;0.15","0.000416;0.002194","0.037825;0.166243",4100224,151,60,350,38608,2,0,0,24074,1,0,1,423,10269,9761,"2021-08-01","Cumulative",0,0.999755392274851,11.7666811994411,"region","BARMM-BARMM",0.75,150000000
