,pop,equar,first_date,equar_date,lambdaValues,tau,beta,c,c1,c2,omega,thetaA,thetaS,r,deltaA,deltaA1,deltaA2,epsT,epsI,epsIH,E1,E2,E3,E4,E5,k1,k2,mu,deltaS,tv1,tv2,J,S0,E0,IA0,IS0,V10,Ev10,IAv10,ISv10,V20,Ev20,IAv20,ISv20,Q0,C0,R0,startProjection_date,FittedTo,Convergence,fitness,distance,Geographical.Level,Geographical.Place,popMultiplier,area
1,3968152,31;62;92,2021-07-01,2021-07-31;2021-08-31;2021-09-30,0.427722398663249;0.156025149383642;0.156025149383642,5,0.325757451,0.18,0.246903875,0.42510687,0.33,0.071428571,0.071428571,0.09101277,0.03,0.012,0.012,0.001888834,0.001888834,0.001404397,1,1,1,1,1,0.809579583,0.42999161,4.05E-05,0.12;0.1,5898;9962;9962,5590;8151;12281,508;4129;0,4842954,1918,119,2376,302263,116,12,124,82522,19,3,16,4723,4379,54049,2021-08-01,Active,52,0.949036005,330.7092192,region,11-Davao,0.75,110000000
1,3689950,31;62;92,2021-07-01,2021-07-31;2021-08-31;2021-09-30,0.256103655788073;0;0,5,0.325757451,0.18,0.23904506,0.430416458,0.33,0.071428571,0.071428571,0.09101277,0.04,0.016,0.016,0.001888834,0.001888834,0.001500596,1,1,1,1,1,0.856100566,0.479883823,4.05E-05,0.16;0.195,1689;5310;5310,2422;1587;5239,1848;3652;0,4731852,766,47,1018,90214,16,1,19,67785,7,1,6,2157,2157,26043,2021-08-01,Active,0,0.960322363,205.0921763,region,12-Soccsksargen,0.75,120000000
1,10353498,31;62;92,2021-07-01,2021-07-31;2021-08-31;2021-09-30,0.13762721027773;0.0476177139092303;0.0476177139092303,5,0.43434327,0.18,0.2486609,0.43012825,0.33,0.07142857,0.07142857,0.09101277,0.0325,0.013,0.013,0.00188883,0.00188883,0.00138829,1,1,1,1,1,0.80216592,0.43849797,4.05E-05,0.13;0.2,38903;101427;30489,70645;30199;42737,5715;3229;0,9508567,2042,99,2493,2369751,629,44,693,1122322,174,21,144,7255,7265,790428,2021-08-01,Active,0,0.99265058,1471.02901,region,NCR-National capital region,0.75,130000000
1,1355806,31;62;92,2021-07-01,2021-07-31;2021-08-31;2021-09-30,0.346956892791418;0;0,5,0.325757451,0.18,0.243489171,0.428461713,0.33,0.071428571,0.071428571,0.09101277,0.0325,0.013,0.013,0.001888834,0.001888834,0.001468549,1,1,1,1,1,0.842739365,0.459438079,4.05E-05,0.13;0.14,1414;2671;2671,2102;1416;2721,2424;1305;0,1602356,696,42,819,96743,43,4,44,54315,16,2,13,1321,1231,51418,2021-08-01,Active,0,0.968647006,151.9291594,region,CAR-CAR,0.75,140000000
1,3137492,31;62;92,2021-07-01,2021-07-31;2021-08-31;2021-09-30,0.0873575427994778;0;0,5,0.325757451,0.18,0.238143916,0.428973402,0.33,0.071428571,0.071428571,0.09101277,0.05,0.02,0.02,0.001888834,0.001888834,0.001528089,1,1,1,1,1,0.870754611,0.478271232,4.05E-05,0.2;0.15,916;1270;1270,686;748;1270,651;3762;0,4109848,73,24,164,38377,1,0,1,23388,0,0,0,423,418,11094,2021-08-01,Active,0,0.973943999,50.67490455,region,BARMM-BARMM,0.75,150000000
1,2064836,31;62;92,2021-07-01,2021-07-31;2021-08-31;2021-09-30,0.393469042022057;0;0,5,0.325757451,0.18,0.240395464,0.431269211,0.33,0.071428571,0.071428571,0.09101277,0.0325,0.013,0.013,0.001888834,0.001888834,0.00149546,1,1,1,1,1,0.854687629,0.482351501,4.05E-05,0.13;0.13,1255;3207;3207,2369;1675;3753,2771;2077;0,2555465,506,32,748,104179,23,2,30,62814,8,1,8,1769,1769,27530,2021-08-01,Active,0,0.980594111,137.85228,region,CARAGA-Caraga,0.75,160000000
1,2381136,31;62;92,2021-07-01,2021-07-31;2021-08-31;2021-09-30,0.791291809849748;0.320860273442954;0.320860273442954,5,0.325757451,0.18,0.2486609,0.43012825,0.33,0.071428571,0.071428571,0.09101277,0.00725,0.0029,0.0029,0.001888834,0.001888834,0.00138829,1,1,1,1,1,0.80216592,0.43849797,4.05E-05,0.029;0.034,38903;101427;30489,70645;30199;42737,5715;3229;0,9508567,2042,99,2493,2369751,629,44,693,1122322,174,21,144,1100,1021,790428,2021-08-01,Active,0,0.926730824,67.15710932,region,4B-Mimaropa,0.75,170000000
1,3953090,31;62;92,2021-07-01,2021-07-31;2021-08-31;2021-09-30,0.12506810554096;0.089802268487399;0.089802268487399,5,0.325757451,0.18,0.241795605,0.429284007,0.33,0.071428571,0.071428571,0.09101277,0.045,0.018,0.018,0.001888834,0.001888834,0.001485725,1,1,1,1,1,0.85069174,0.469596714,4.05E-05,0.18;0.18,3186;8172;8172,2862;3907;5954,5270;2047;0,4987876,1511,130,2000,168628,52,5,49,81076,16,2,12,2339,29526,27498,2021-08-01,Cumulative,0,0.999835669,189.503307,region,1-Ilocos,0.75,10000000
1,2743312,31;62;92,2021-07-01,2021-07-31;2021-08-31;2021-09-30,0.168110924848206;0;0,5,0.325757451,0.18,0.241125041,0.430408244,0.33,0.071428571,0.071428571,0.09101277,0.03875,0.0155,0.0155,0.001888834,0.001888834,0.001488103,1,1,1,1,1,0.85130058,0.47397351,4.05E-05,0.155;0.155,2190;4445;4445,2513;3378;5865,1994;2488;0,3380180,902,54,1157,151704,42,4,46,70633,12,2,11,1897,53307,51104,2021-08-01,Cumulative,52,0.999572802,224.8266899,region,2-Cagayan valley,0.75,20000000
2,9235266,31;62;92,2021-07-01,2021-07-31;2021-08-31;2021-09-30,0.00222890232266016;0;0,5,0.325757451,0.18,0.240037016,0.428352901,0.33,0.071428571,0.071428571,0.09101277,0.0425,0.017,0.017,0.001888834,0.001888834,0.001484652,1,1,1,1,1,0.848110448,0.457546405,4.05E-05,0.17;0.165,7670;25838;25838,11772;11426;15603,10463;4176;0,11389509,1801,140,2500,592998,97,9,106,200001,20,3,17,4013,127067,122772,2021-08-01,Cumulative,0,0.998739849,1251.158559,region,3-Central luzon,0.75,30000000
